Calories (kcal),Distance (m),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Move Minutes count,Inactive duration (ms),Walking duration (ms),Day
1963.0437403925,1613.344261825085,0.566893252918022,3.4300000667572017,0.3033215701580048,4888,70.0,77418453,3847969.0,Wednesday
1887.0788122832214,930.3270876407623,1.2034087194613945,13.359999656677244,0.2510583996772766,2789,35.0,78678919,2496084.0,Thursday
1859.0515231789645,947.605524778366,0.6638472209481091,5.010000228881836,0.2520365417003632,2584,36.0,78162671,1906557.0,Friday
1860.1148462828642,356.8756172657013,0.7011139534231925,12.630000114440918,0.30025961995124817,1642,17.0,81472896,2019794.0,Saturday
2269.32055486048,6284.965999722481,1.077803816288403,4.050000190734863,0.24889880418777466,11638,136.0,74879804,7778526.0,Sunday
2505.5742177459233,8627.226446926594,1.2783543975970502,25.809999465942386,0.2510583996772766,14121,168.0,67138059,12100833.0,Monday
1881.0498676440548,7293.5267627835265,1.9029744668711392,15.020000457763672,0.2528320550918579,12416,164.0,44253455,10989733.0,Tuesday
2828.5082388076507,11494.40606248379,0.7058845849237301,1.6251306533813477,0.25019562244415283,20954,265.0,62150021,19431752.0,Wednesday
2370.670826169596,8028.920650064945,0.782559766557608,7.730000019073486,0.2454560250043869,13457,177.0,75254402,10961949.0,Thursday
2236.8008966064604,4696.120890915395,0.8792696006243201,5.360000133514403,0.2615191638469696,8804,122.0,70453815,8649623.0,Friday
